Date,Depreciation & Amortization,Stock-based compensation,Operating Cash Flow,Capital Expenditure,Acquisitions and disposals,Investment purchases and sales,Investing Cash flow,Issuance (repayment) of debt,Issuance (buybacks) of shares,Dividend payments,Financing Cash Flow,Effect of forex changes on cash,Net cash flow / Change in cash,Free Cash Flow,Net Cash/Marketcap
2018-06-30,2834000000.0,395000000.0,14867000000.0,-3717000000.0,-109000000.0,46000000.0,-3511000000.0,-1238000000.0,-5827000000.0,-7310000000.0,-14375000000.0,19000000.0,-3000000000.0,11150000000.0,-0.0989
2017-06-30,2820000000.0,351000000.0,12753000000.0,-3384000000.0,505000000.0,-3381000000.0,-5689000000.0,1399000000.0,-2731000000.0,-7236000000.0,-8568000000.0,-29000000.0,-1533000000.0,9369000000.0,-0.0738
2016-06-30,3078000000.0,335000000.0,15435000000.0,-3314000000.0,-1325000000.0,-1368000000.0,-5575000000.0,1285000000.0,-1332000000.0,-7436000000.0,-9213000000.0,-381000000.0,266000000.0,12121000000.0,-0.0765
2015-06-30,3134000000.0,337000000.0,14608000000.0,-3736000000.0,-1045000000.0,-2607000000.0,-2890000000.0,-3954000000.0,-1778000000.0,-7287000000.0,-13019000000.0,-411000000.0,-1712000000.0,10872000000.0,-0.0883
2014-06-30,3141000000.0,360000000.0,13958000000.0,-3848000000.0,-24000000.0,-805000000.0,-4100000000.0,3543000000.0,-3911000000.0,-6911000000.0,-7279000000.0,39000000.0,2618000000.0,10110000000.0,-0.1163
2013-06-30,2982000000.0,346000000.0,14873000000.0,-4008000000.0,-1145000000.0,-1726000000.0,-6295000000.0,1985000000.0,-2537000000.0,-6519000000.0,-7071000000.0,4000000.0,1511000000.0,10865000000.0,-0.1197
2012-06-30,3204000000.0,377000000.0,13284000000.0,-3964000000.0,-134000000.0,112000000.0,-1093000000.0,-1976000000.0,-2295000000.0,-6139000000.0,-10410000000.0,-113000000.0,1668000000.0,9320000000.0,-0.1511
2011-06-30,2838000000.0,414000000.0,13330000000.0,-3306000000.0,-474000000.0,73000000.0,-3482000000.0,1481000000.0,-5836000000.0,-5767000000.0,-10122000000.0,163000000.0,-111000000.0,10024000000.0,-0.1648
2010-06-30,3108000000.0,453000000.0,16131000000.0,-3067000000.0,-425000000.0,-173000000.0,-597000000.0,-6514000000.0,-5342000000.0,-5458000000.0,-17314000000.0,-122000000.0,-1902000000.0,13064000000.0,-0.156
2009-06-30,3082000000.0,516000000.0,14919000000.0,-3238000000.0,-368000000.0,166000000.0,-2353000000.0,-81000000.0,-5689000000.0,-5044000000.0,-10814000000.0,-284000000.0,1468000000.0,11681000000.0,-0.2161
